Level,Code,Class title,Element Type Label English,Element Description English,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"information systems vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,labour organization president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"lobby chief executive officer - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"marketing vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,medical vice-president - health services ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,membership organization general manager ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,music guild president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,non-governmental organization (NGO) executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,nurse's association executive director ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"nursing vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"operations vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"personnel vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"planning vice-president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,political organization general manager ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,political party president ,,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"president - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,"president and general manager - health, education, social and community services and membership organizations ",,,,
4,0014,"Senior managers - health, education, social and community services and membership organizations",All examples,professional association executive director ,,,,
